,precision,recall,f1-score,support
angry,0.6060254924681344,0.5315040650406504,0.5663237682728749,2952.0
happy_excited,0.31872852233676974,0.22677261613691932,0.265,1636.0
neutral,0.338368580060423,0.45901639344262296,0.38956521739130434,1708.0
sad,0.4534351145038168,0.5479704797047971,0.49624060150375937,1084.0
accuracy,0.44959349593495934,0.44959349593495934,0.44959349593495934,0.44959349593495934
macro avg,0.42913942734228594,0.44131588858124743,0.42928239679198466,7380.0
weighted avg,0.45797890449515277,0.44959349593495934,0.4483238438043292,7380.0
