model,accuracy,f1_weighted,f1_macro,uar,precision_weighted,recall_weighted
dtr,0.41836734693877553,0.42192213592121103,0.42124511783296414,0.42493433228839217,0.47351238508852755,0.41836734693877553
knn,0.4906122448979592,0.4795801277903146,0.47688624803227203,0.4912017209319495,0.4928089558431887,0.4906122448979592
logistic,0.4453061224489796,0.44544332918656276,0.4428160866789305,0.4432735200426759,0.5120998067024809,0.4453061224489796
nb,0.3075510204081633,0.22905792795951993,0.22689098276302253,0.3001492135436534,0.25063858537981937,0.3075510204081633
rf,0.45224489795918366,0.4473787382263854,0.4483424034738542,0.46304621457942624,0.5582068131049391,0.45224489795918366
svm,0.5116326530612245,0.5055404624354517,0.504921964188378,0.5170549668965247,0.561153580949756,0.5116326530612245
xgb,0.4704081632653061,0.47366419110677177,0.47163537874563743,0.4718620460531697,0.4990929995296243,0.4704081632653061
