model,accuracy,f1_weighted,f1_macro,uar,precision_weighted,recall_weighted
dtr,0.3573469387755102,0.3604967574908988,0.3587967690311282,0.35873081992534617,0.4073277942129613,0.3573469387755102
knn,0.4630612244897959,0.45293601593160315,0.44922533595263414,0.4620174988437127,0.47829743865683927,0.4630612244897959
logistic,0.39938775510204083,0.37810497325748016,0.37510646306866446,0.39332353535126885,0.445177924380209,0.39938775510204083
nb,0.54,0.5080517032912637,0.5067040020524021,0.5408663433163696,0.5231309200559694,0.54
rf,0.46653061224489795,0.4431792595173825,0.4449645806338649,0.483573843513608,0.6148118516814463,0.46653061224489795
svm,0.5093877551020408,0.4982406593104433,0.4981424005511276,0.5204516288270578,0.5821828441697636,0.5093877551020408
xgb,0.5057142857142857,0.4999084236624005,0.4986646164955988,0.5094529657051325,0.5289964185239072,0.5057142857142857
