model,accuracy,f1_weighted,f1_macro,uar,precision_weighted,recall_weighted
dtr,0.37448979591836734,0.37694591312909703,0.37714094666604625,0.38154605208395914,0.429191651886722,0.37448979591836734
knn,0.4887755102040816,0.48345073180348197,0.48264523505936047,0.4951249550332699,0.5185303114379185,0.4887755102040816
logistic,0.36020408163265305,0.3250440120824503,0.32061386266762437,0.35202869619282895,0.4331598892133871,0.36020408163265305
nb,0.5408163265306123,0.5186334546099329,0.5166706856365803,0.540354609261735,0.5269442280468623,0.5408163265306123
rf,0.4446938775510204,0.4136490242342836,0.4162875259856821,0.46202799409660117,0.6043986661487073,0.4446938775510204
svm,0.4926530612244898,0.47861431187101866,0.4793936386325572,0.5030573757380153,0.5771594725264224,0.4926530612244898
xgb,0.52,0.5134293255255539,0.5124589708832792,0.5244868726100681,0.5466854982861604,0.52
