model,accuracy,f1_weighted,f1_macro,uar,precision_weighted,recall_weighted
dtr,0.33918367346938777,0.328454349952691,0.328380678898437,0.34079208035455133,0.37859617030822834,0.33918367346938777
knn,0.4736734693877551,0.46367399164743855,0.4599974292772928,0.47211248450140675,0.47479812735633387,0.4736734693877551
logistic,0.41714285714285715,0.40501717773645324,0.40121037003728,0.4110353603165079,0.4796250288689052,0.41714285714285715
nb,0.5342857142857143,0.4981044305339973,0.4966522464800621,0.5347262584712977,0.5191992774330976,0.5342857142857143
rf,0.49489795918367346,0.4651344248704425,0.46661430283243666,0.5098490710253573,0.6031166603290746,0.49489795918367346
svm,0.5295918367346939,0.49716281486765657,0.49761893545466507,0.5364950704882898,0.5616654327633812,0.5295918367346939
xgb,0.5073469387755102,0.5064447294849874,0.503796236619073,0.5067647333445766,0.5336855804860885,0.5073469387755102
