model,accuracy,f1_weighted,f1_macro,uar,precision_weighted,recall_weighted
dtr,0.3820408163265306,0.38972824955631585,0.38677663706253884,0.382963815987093,0.4143791012392353,0.3820408163265306
knn,0.46408163265306124,0.45055729011970935,0.4472344001173174,0.46326733870062975,0.4700083864008231,0.46408163265306124
logistic,0.36673469387755103,0.3452815537056628,0.34173241616533806,0.36048714621045375,0.44710929025269214,0.36673469387755103
nb,0.5310204081632653,0.4913113044405856,0.48915880230970554,0.5294149366991489,0.5134975234842678,0.5310204081632653
rf,0.5075510204081632,0.4986831258455131,0.4993534437531203,0.5212118108509334,0.5970717769761552,0.5075510204081632
svm,0.5426530612244898,0.5389872809495952,0.5377210221583432,0.548184610774499,0.5698598364444928,0.5426530612244898
xgb,0.5204081632653061,0.5176460324711598,0.5133323671285275,0.5170558716597048,0.5179319619543352,0.5204081632653061
