,precision,recall,f1-score,support
angry,0.6703985669502911,0.5071138211382114,0.5774349083895853,2952.0
happy_excited,0.3581124757595346,0.33863080684596575,0.34809927741124724,1636.0
neutral,0.40598073998986317,0.4689695550351288,0.4352078239608802,1708.0
sad,0.4794099569760295,0.7195571955719557,0.5754334194024345,1084.0
accuracy,0.4921409214092141,0.4921409214092141,0.4921409214092141,0.4921409214092141
macro avg,0.4784754349189296,0.5085678446478155,0.4840438572910368,7380.0
weighted avg,0.5119219616862548,0.4921409214092141,0.493385238125783,7380.0
