,precision,recall,f1-score,support
angry,0.5850261172373766,0.6829268292682927,0.6301969365426696,2952.0
happy_excited,0.4055766793409379,0.19559902200489,0.2639175257731959,1636.0
neutral,0.41317365269461076,0.44437939110070257,0.42820874471086035,1708.0
sad,0.5175840978593272,0.6245387453874539,0.5660535117056856,1084.0
accuracy,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.5111111111111111
macro avg,0.4803401367830631,0.4868609969403348,0.47209417968310285,7380.0
weighted avg,0.4955667081800022,0.5111111111111111,0.49283102594769945,7380.0
