,precision,recall,f1-score,support
angry,0.5813218390804598,0.6852981029810298,0.6290422885572139,2952.0
happy_excited,0.40512820512820513,0.19315403422982885,0.26158940397350994,1636.0
neutral,0.4126027397260274,0.4408665105386417,0.4262666289272573,1708.0
sad,0.5196911196911197,0.6208487084870848,0.5657839428331232,1084.0
accuracy,0.5101626016260162,0.5101626016260162,0.5101626016260162,0.5101626016260162
macro avg,0.479685975906453,0.4850418390591463,0.47067056607277613,7380.0
weighted avg,0.49416293573881975,0.5101626016260162,0.49136399687810556,7380.0
