model,accuracy,f1_weighted,f1_macro,uar,precision_weighted,recall_weighted
dtr,0.2540816326530612,0.11194915017164035,0.10896808186453498,0.24548523173156472,0.09745286029310833,0.2540816326530612
knn,0.2593877551020408,0.10684875603133816,0.10298168854318587,0.25,0.06728200749687631,0.2593877551020408
logistic,0.463265306122449,0.4319678180027862,0.42596508825550344,0.45392366838764686,0.4346723338005272,0.463265306122449
nb,0.2593877551020408,0.10684875603133816,0.10298168854318587,0.25,0.06728200749687631,0.2593877551020408
rf,0.2593877551020408,0.10686607349584891,0.10299837925445705,0.25,0.06729574132163581,0.2593877551020408
svm,0.22183673469387755,0.08055337585176045,0.09078002338399867,0.25,0.049211536859641816,0.22183673469387755
xgb,0.30081632653061224,0.19809111902135393,0.19092181022907834,0.2899291896144768,0.14919245405772802,0.30081632653061224
