model,accuracy,f1_weighted,f1_macro,uar,precision_weighted,recall_weighted
dtr,0.3906122448979592,0.3789990876505522,0.38002056366581355,0.3982503327718976,0.435377377907325,0.3906122448979592
knn,0.4648979591836735,0.45245601100738086,0.4483233822062309,0.46252253765081497,0.47248673643239253,0.4648979591836735
logistic,0.3893877551020408,0.380320395334828,0.3772428604671163,0.3839518173797045,0.4687980315542908,0.3893877551020408
nb,0.5393877551020408,0.5088118188514562,0.5077904696817406,0.541508182316295,0.5284121541239871,0.5393877551020408
rf,0.4448979591836735,0.4020227249777078,0.40483451130869264,0.4622579848969691,0.6013408066739719,0.4448979591836735
svm,0.5179591836734694,0.5013849053212153,0.5014622193937645,0.5277805724907118,0.5830083649571597,0.5179591836734694
xgb,0.503265306122449,0.4974391313411877,0.49605696372247365,0.5076586393664632,0.5366390516171126,0.503265306122449
